SN	Question	Answer
44	»—«ѕ—«д нж”Ё ”—ц ‘» Р—неЭШд«д Бн‘ Не Ш”н ¬гѕдѕ 	 Бн‘ нЏёж»
45	»—«ѕ—«д Бн—«ед Не Ш”н —« ќждЭг«бн Ш—ѕе »жѕдѕ 	 Бн—«ед нж”Ё —«
46	Не Ш”«дн Бн—«ед нж”Ё —« ќждЭг«бн Ш—ѕе »жѕдѕ 	 »—«ѕ—«д
47	»—«ѕ—«д Бн—«ед нж”Ё —« Не Ш—ѕдѕ 	ќжд г«бн Ш—ѕе »жѕдѕ
48	«“ Не Ш”н »«нѕ н«—н ќж«”  	 ѕ— »—«»— Ќ—ЁЭе«н нШ ”— ѕ—жџ »—«ѕ—«д «“ ќѕ«
49	Не Ш”н ѕ— »—«»—ц Ќ—ЁЭе«н нШЭ”— ѕ—жџ »—«ѕ—«д «“ ќѕ« »«нѕ н«—н ќж«”  	 нЏёж» »—«ѕ—«д «“ ќѕ«
50	нЏёж» ѕ— »—«»—ц Ќ—ЁЭе«н нНе Ш”«дн «“ ќѕ« »«нѕ н«—н ќж«”  	 ѕ— »—«»— Ќ—ЁЭе«н нШ ”— ѕ—жџ »—«ѕ—«д «“ ќѕ«
51	нЏёж» ѕ— »—«»—ц  Не джЏ Ќ—ЁЭе«н »—«ѕ—«д «“ ќѕ« »«нѕ н«—н ќж«”  	 ѕ— »—«»— Ќ—ЁЭе«н нШ ”— ѕ—жџ »—«ѕ—«д «“ ќѕ«
52	ѕ— Шѕ«г Ш‘ж— нж”Ё —« »е г»бџ д«Нн“н нЏдн Ндѕ ”Ш? дё—е Ё—жќ дѕ 	 ѕ— Ш‘ж— г’—
53	Не Ш”н —« »е г»бџ д«Нн“н ѕ— Ш‘ж— г’— нЏдн Ндѕ ”Ш? дё—е Ё—жќ дѕ	 —« Ш«—ж«д нж”Ё
54	Ш«—ж«д нж”Ё —« »е Не г»бџн Ё—жќ дѕ	 »е г»бџ д«Нн“н
55	Не ‘ќ’н  нж”Ё —« ќ—нѕ	’ѕ—«Џўг г’—
56	ѕ— Шћ« нж”Ё —« »е г»бџ д«Нн“н Ё—жќ дѕ 	 ѕ— Ш‘ж— г’—
57	’ѕ—«Џўг Шћ« нж”Ё —« ќ—нѕ 	ѕ— г’—
58	Не Ш”н ѕ— г’— нж”Ё —« ќ—нѕ 	 ’ѕ—«Џўг г’—
59	’ѕ—«Џўг г’— »е Не Ш”н ”Ё«—‘ Ш—ѕ Ќ”«»н нж”Ё —«  Ќжнб »Рн—ѕ 	 »е ег”—‘ “бнќ« 
60	’ѕ—«Џўг г’— »е ег”—‘ “бнќ« ”Ё«—‘ Ш—ѕ нж”Ё —« Не Шдѕ	”Ё«—‘ Ш—ѕ  Ќжнб »Рн—
61	нж”Ё Ё—“дѕќж«дѕе Не Ш”н ‘ѕ 	нж”Ё Ё—“дѕќж«дѕе ’ѕ—«Џўг г’—
62	нж”Ё Не д”» н »« ’ѕ—«Џўг г’— ѕ«‘  	Ё—“дѕќж«дѕе
63	ќѕ«ждѕ нж”Ё —« «“ Не «гШ«д«  »е—еЭгдѕ‘ Ш—ѕ 	 «“ «гШ«д«  г«ѕн ж гЏджн
64	ќѕ«ждѕ »е нж”Ё Не Нн“н —« н«ѕ ѕ«ѕ	 Џ»н— ќж«» Бн‘ »ндн Ќж«ѕЋ ¬ндѕе
65	Не Ш”н  Џ»н— ќж«» ж Бн‘Э»нднц Ќж«ѕЋ ¬ндѕе —« »е нж”Ё н«ѕ ѕ«ѕ 	 ќѕ«ждѕ
66	ќѕ«ждѕ  Џ»н— ќж«» ж Бн‘Э»нднц Ќж«ѕЋ ¬ндѕе —« »е Не Ш”н н«ѕ ѕ«ѕ 	 »е нж”Ё
67	ќѕ«ждѕ Бн‘Э»нднц Ќж«ѕЋ Не “г«дн —« »е нж”Ё н«ѕ ѕ«ѕ 	  Џ»н— ќж«» —« Бн‘ »ндн Ќж«ѕЋ ¬ндѕе
68	Не жё  ќѕ«ждѕ »е нж”Ё ЌШг  ж ѕ«д‘ »ќ‘нѕ 	 ећѕе ”«бРн
69	ќѕ«ждѕ »е нж”Ё Не Нн“н »ќ‘нѕ 	 ЌШг 
70	Не Ш”н »е нж”Ё ЌШг  ж ѕ«д‘ »ќ‘нѕ 	 ќѕ«ждѕ
71	ќѕ«ждѕ »е ѕ—” Ш«—«д Не Б«ѕ«‘н гнЭѕеѕ 	ЌШг  ж ѕ«д‘
72	Не Ш”н »е ѕ—” Ш«—«д ЌШг  ж ѕ«д‘ Б«ѕ«‘ гнЭѕеѕ 	 ќѕ«ждѕ
73	ќѕ«ждѕ »е Не Ш”«дн ЌШг  ж ѕ«д‘ Б«ѕ«‘ гнЭѕеѕ 	»е ѕ—” Ш«—«д
74	нж”Ё ѕ— Шћ« “дѕРн гнЭШ—ѕ 	 ѕ— Ш«ќ “бнќ«
75	Не Ш”н ѕ— Ш«ќ “бнќ« “дѕРн гнЭШ—ѕ 	 нж”Ё
76	“бнќ« ѕд»«б Не —«»Ўе »« нж”Ё »жѕ 	 “бнќ« ѕд»«б —«»Ўе д«г‘—жЏ »« нж”Ё
77	“бнќ« ѕд»«б —«»Ўе д«г‘—жЏ »« Не Ш”н »жѕ 	 “бнќ« ѕд»«б —«»Ўе д«г‘—жЏ »« нж”Ё
78	Не Ш”н ѕд»«б —«»Ўе д«г‘—жЏ »« нж”Ё »жѕ 	“бнќ«
79	Не Ш”н дР–«‘  Ќ н гнб »е “д« ”—«џ нж”Ё »—жѕ. 	ќѕ«ждѕ
80	нж”Ё »—«н Ё—«— «“ “бнќ« »е Шћ« ѕжнѕ 	 »е Ў—Ё ѕ— ќ—жћн
81	Не Ш”н »—«н Ё—«— «“ “бнќ« »еЭ Ў—Ё ѕ— ќ—жћн ѕжнѕ  	 нж”Ё
82	ќѕ«ждѕ »е нж”Ё ЌШг  ж ѕ«д‘ —« ѕ— Ндѕ ”«бн »ќ‘нѕ 	 ећѕе ”«бРн
83	нж”Ё »—«н Ё—«— «“ Не Ш”н »еЭ Ў—Ё ѕ— ќ—жћн ѕжнѕ 	 »—«н Ё—«— «“ “бнќ«
84	“бнќ« »—«н Р—Ё д нж”Ё Не Ш—ѕ 	 ѕжнѕ
85	Бн—«ед Не Ш”н «“ »«б«  « Б«ннд Б«—е ‘ѕ 	 Бн—«ед нж”Ё
86	нж”Ё ж “бнќ« д«Ре«д ѕг ѕ— »« Не Ш”н —ж»еЭ—ж ‘ѕдѕ 	 д«Ре«д »« ‘же—
87	Не Ш”«дн ѕ— ѕ—»«— “бнќ« —«  ”—“д‘ Р‘жѕдѕ	 ЏѕеЭ«н «“ “д«д
88	ЏѕеЭ«н «“ “дЭе«н ѕ—»«— Не Ш”н —« ”—“д‘ Ш—ѕдѕ. 	 —« “бнќ«
89	Не Ш”н ѕд»«б —«»Ўе д«г‘—жЏ »« »—ѕеЭ«‘ »жѕе «”  	 ег”— ’ѕ—«Џўг г’—
90	ЏѕеЭ«н «“ “д«д Шћ« “бнќ« —«  ”—“д‘ Ш—ѕдѕ	ѕ—»«—
91	ег”— Не Ш”н ѕд»«б —«»Ўе д«г‘—жЏ »« »—ѕеЭ«‘ »жѕе «”  	 ег”— ’ѕ—«Џўг г’—
92	“дЭе«н ѕ—»«— егнд Ше Н‘г‘«д »е нж”Ё «Ё «ѕ »н «ќ н«— »е ћ«н гнже Не Нн“н —« »—нѕдѕ	ѕ”  е«н‘«д
93	“бнќ« Не Ш”н —« г—«”г ѕЏж  Ш—ѕ 	 “дЭе«н ѕ—»«—
94	Не Ш”н “дЭе«н ѕ—»«— —« »е г—«”г ѕЏж  Ш—ѕ	 “бнќ«
95	“бнќ« »—«н Б–н—«нн «“ “дЭе«н ѕ—»«— Не Нн“н ¬г«ѕе Ш—ѕ 	 гнжеЭ«н
96	“бнќ« »е ѕ”  е—нШ «“ “дЭе«н ѕ—»«— Не Нн“н ѕ«ѕ 	 гнжеЭ«н
97	Не Ш”н »е ѕ”  е—нШ «“ “дЭе«н ѕ—»«— Н«ёж ѕ«ѕ 	 “бнќ«
98	Не “г«дн »нЭ«ќ н«— “дЭе«н ѕ—»«— »еЭћ«н гнже ѕ” Эе«н‘«д —« »—нѕдѕ 	 егнд Н‘г«д »е нж”Ё «Ё «ѕ
99	егндЭШе Н‘г гег«д«д »е нж”Ё «Ё «ѕ »нЭ«ќ н«— Не Ш”«дн »еЭћ«н гнже ѕ” Эе«н‘«д —« »—нѕдѕ	 “дЭе«н ѕ—»«— Н‘г‘«д
100	Не Ш”н «Џ —«Ё Ш—ѕ Ше ѕд»«б —«»Ў? д«г‘—жЏ »« нж”Ё »жѕе 	 ег”— ’ѕ—«Џўг г’—
101	“бнќ« «Џ —«Ё Ш—ѕ Ше ѕд»«б —«»Ў? д«г‘—жЏ »« Не Ш”н »жѕе «”  	 “бнќ« ѕд»«б —«»Ў? д«г‘—жЏ »« нж”Ё
102	“дЭе«н ѕ—»«— »е ћ«н гнже Не Нн“н —« »—нѕдѕњ	 —« ѕ”  е«н‘«д
103	Не Ш”н ег ѕЏ«н нж”Ё —« «ћ«»  Ш—ѕ ж ‘—ш “д«д —« «“ ”—‘ Шж «е Ш—ѕ 	 ќѕ«
104	ќѕ« ег ѕЏ«н Не Ш”н —« «ћ«»  Ш—ѕ	 ѕЏ«н нж”Ё —«
105	Не Ш”н ‘дж«н ѕЏ«е« ж ѕ«д«н дн«“е« «”  	 ќѕ«ждѕ
106	Не Ш”н егЭ“г«д »« ѕж дЁ— «“ »—ѕеЭе«н Б«ѕ‘«е г’— ег »е “дѕ«д «Ё «ѕдѕ 	 нж”Ё
107	 Не Ш”«дн »н «ќ н«— »е ћ«н гнже ѕ”  н‘«д —« »—нѕдѕ	 “дЭе«н ѕ—»«—
108	нж”Ё ег “г«д »« Не Ш”«дн ег »е “дѕ«д «Ё «ѕдѕ	 »« ѕж дЁ— «“ »—ѕеЭе«н Б«ѕ‘«е г’— “г«д
109	нж”Ё егЭ“г«д »« ѕж дЁ— «“ »—ѕеЭе«н Б«ѕ‘«е г’— »е Шћ« «Ё «ѕ	»е “дѕ«д
110	нж”Ё «“ Не ѕндн Бн—жн Ш—ѕеЭ «” 	 «“ ѕнд Бѕ—«д ќжѕ «»—«енг ж «”Ќ«ё ж нЏёж» «”Ќ«ё
111	нж”Ё РЁ  »еЭћ«н ќѕ« Не Нн“н —« гнЭБ—” нѕ  	 —« » е«н »нћ«дн
112	Не Ш”н ѕ” ж— ѕ«ѕе «”  Ше ћ“ ќѕ« —« дБ—” нѕ 	ќѕ«ждѕ  
113	Не Ш”н ¬“«ѕ гнЭ‘жѕ ж ”«ёнц  Б«ѕ‘«е г’— ќж«еѕ ‘ѕ	нШн «“ ѕж “дѕ«дн
114	ќѕ«ждѕ ‘—ш “д«д —« «“ ”— Не Ш”н Шж «е Ш—ѕ	нж”Ё
115	Б—дѕР«д «“ гџ“ ”— Не Ш”н ќж«едѕ ќж—ѕ 	 “дѕ«дн«д ѕнР—
116	Не Ш”н «“ ќ«Ў— ег “дѕ«дн нж”Ё »—ѕ Ше »нЭРд«ен нж”Ё —« »е «—»«»‘ н«ѕ¬ж—н Шдѕ 	 ‘нЎ«д
117	‘нЎ«д «“ ќ«Ў— “дѕ«дн »—ѕ Ше »нЭРд«ен Не Ш”н —« »е «—»«»‘ н«ѕ¬ж—н Шдѕ 	 »н Рд«ен нж”Ё —«
118	Не Ш”н ѕ«∆г ќж«» ¬‘Ё е гнЭ»ндѕ	 Б«ѕ‘«е г’— Р«ж еЁ  б«џ— ќж‘е еЁ  ќ‘Ш
119	еЁ  Р«ж б«џ— Не Нн“н —« гнЭќж—дѕ 	 еЁ  Р«ж Н«ё —« ¬де« —«
120	еЁ  ќж‘? ќ‘Ш »е ѕж— Не Нн“н гнЭБнНдѕ 	«“ гнЭ»—дѕ
121	“дѕ«дн дћ«  н«Ё е Не “г«дн »е н«ѕ нж”Ё «Ё «ѕ	 »Џѕ «“ гѕ Эе«
122	Не Ш”н »Џѕ «“ гѕ Эе« н«ѕ нж”Ё «Ё «ѕ 	 “дѕ«дн
123	нж”Ё РЁ  Ндѕ ”«б гЌ’жб‘ —« »« ќж‘е –ќн—е Шднѕ	 еЁ  ”«б Б‘  ”—ег »Ш«—нѕ
124	“дѕ«дн дћ«  н«Ё е »Џѕ «“ гѕ Эе« »е н«ѕ Не Ш”н «Ё «ѕ	»е н«ѕ нж”Ё
125	нж”Ё РЁ  еЁ  ”«б Б‘ Э”—ег Не Шддѕ  	–ќн—е Шднѕ
126	нж”Ё РЁ  Ндѕ ”«б Б‘  ”—ег »Ш«—нѕ ж гЌ’жб‘ —« »« ќж‘е –ќн—е Шднѕ	 еЁ  ”«б Б‘  ”—ег »Ш«—нѕ
127	»Џѕ «“ Не гѕ н ѕж—е ёЌЎн гнЭ—”ѕ	»Џѕ «“ еЁ  ”«б
128	Б«ѕ‘«е г’— »« ‘днѕд  Џ»н— ќж«»‘ ѕ” ж— ¬“«ѕн Не Ш”н —« ѕ«ѕ	нж”Ё
129	Не Ш”н »« ‘днѕд  Џ»н— ќж«»‘ ѕ” ж— ¬“«ѕн нж”Ё —« ѕ«ѕ 	 Б«ѕ‘«е г’—
130	Б«ѕ‘«е »« ‘днѕд Не Нн“н ѕ” ж— ¬“«ѕн нж”Ё —« ѕ«ѕ 	 »« ‘днѕд  Џ»н— ќж«»‘ ¬“«ѕн нж”Ё
131	‘нЎ«д «“ ќ«Ў— ег “дѕ«дн нж”Ё »—ѕ Ше »н Рд«ен нж”Ё —« Бн‘ Не Ш”н н«ѕ¬ж—н Шдѕ	 “дѕ«дн нж”Ё »е «—»«» ‘
132	Не Ш”н РЁ  нж”Ё —« Бн‘ гд »н«ж—нѕ 	 Б«ѕ‘«е г’—
133	Б«ѕ‘«е г’— РЁ  Не Ш”н —« Бн‘ «ж »н«ж—нѕ 	 нж”Ё —«
134	нж”Ё РЁ  еЁ  ”«б Б‘  ”—ег Не Шддѕ	—ѕ ‘ѕ
135	Не Ш”н »« ‘днѕд  Џ»н— ќж«»‘ ѕ” ж— ¬“«ѕн нж”Ё —« ѕ«ѕ 	 Б«ѕ‘«е г’—
136	нж”Ё ѕ— џн«» Не Ш”н »е д«гж”‘ ќн«д  дШ—ѕ 	 ѕ— џн«» ’ѕ—«Џўг
137	Не Нн“н »«ЏЋ ¬“«ѕн нж”Ё —« ‘ѕ 	 ќѕ«
138	нж”Ё РЁ  Ндѕ ”«б Б‘  ”—ег »Ш«—нѕ	 ”«б еЁ 
139	ќѕ« Ќнбе Не Ш”«дн —« »е ”—«дћ«г дгнЭ—”«дѕ 	 —« Ќнбе ќ«∆дЭе«
140	Не Нн“н «д”«д —« »е »ѕн е« Ё—г«д гнЭѕеѕ  	 дЁ” ”—Ш‘
141	 ќѕ«ждѕ Ќнбе Не Ш”«дн —« »е ”—«дћ«г дгнЭ—”«дѕ	Ќнбе ќ«∆дЭе«
142	Б«ѕ‘«е г’— »е д»жџ ж дћ«»  Не ‘ќ’н Бн »—ѕ	д»жџ дћ«»  нж”Ё
143	нж”Ё «“ Не “г«дн Бн‘ Б«ѕ‘«е г’— «—ћгдѕн ж «гнд ‘ѕ 	 нж”Ё Бн‘ Б«ѕ‘«е г’—
144	нж”Ё  »е ”г  ќ“«де ѕ«—н Шћ« гд’ж» ‘ѕ 	г’—
145	нж”Ё »е  Не ”г  гд’ж» ‘ѕ 	ќ“«де ѕ«—н
146	ќѕ«ждѕ нж”Ё —« ѕ— Шћ« »е ёѕ—  ж ѕжб  —”«дѕ	”—“гнд г’—
147	Не Ш”н нж”Ё —« »е ёѕ—  ж ѕжб  —”«дѕ 	 ќѕ«ждѕ
148	ќѕ« ће Ш”«дн —« «“ —Ќг  ќѕ« »—ќж—ѕ«—‘ гнЭШдѕ 	 —Ќг  ќѕ«
149	ќѕ«ждѕ Б«ѕ«‘ ѕднжн Не Ш”«дн —« Б«нг«б дгнЭШдѕ 	Б«ѕ«‘ ѕднжн ѕ—” Ш«—«д —«
150	»—«н Не Ш”«дн Б«ѕ«‘ ¬ќ—  ж«ёЏ«р »е — «”  	 ж«ёЏ«
151	»—«ѕ—е«н нж”Ё ѕ— Не “г«дн —«ен г’— ‘ѕдѕ 	 ѕ— ѕж—«д ќ‘Ш ”«бн
152	»—«ѕ—«д РЁ дѕ »—«н ¬ж—ѕд »дн«гнд —÷«н  Не Ш”» —« ћб» гн Шднг 	 —÷«н  Бѕ— г«д —«
153	нж”Ё Бжбн —« Ше »«»  ќ—нѕ џбе »—«ѕ—«д Б—ѕ«ќ еЭ«дѕ —« Шћ« гќЁн Ш—ѕ 	 »«»  ќ—нѕ џбе »—«ѕ—«д ѕ— »«—е«н‘«д
154	Не Ш”н »е —нд г—«ё» «”  	 ќѕ«  
155	нж”Ё Бжбн —« Шћ« гќЁн Ш—ѕ 	»«— »дн«гнд
156	нЏёж» Не Ш”н —« »— ёжб ж ё—«—н Ше Р–«‘ д ‘«еѕ Р—Ё  	 ќѕ«н д«Ш—ѕе
157	»—«ѕ—«д Не Ўж— ж«—ѕ Б«н ќ  г’— ‘ѕдѕ 	 ег«д Ўж— Ше нЏёж» ”Ё«—‘ Ш—ѕе »жѕ
158	ћ«г “—нд Не Ш”н —« гќЁн«де ѕ— »«— »—«ѕ—‘ »дн«гнд° Р–«‘ 	Б«ѕ‘«е г’—
159	Ё—“дѕ«д нЏёж» »—«н Не Ш«—н »е г’— дн«гѕеЭ«дѕ 	 »е ќѕ« »—«н ќ—«»Ш«—н »е ќѕ« Ё—“дѕ«д нЏёж» »—«н ќ—«»Ш«—н »е г’— дн«гѕеЭ«дѕ .
160	гћ«“«  ѕ“ѕн Не Нн“н «”  	 ж«ёЏ«
161	ћ«г “—нд —« «“ »«— Не Ш”н »н—жд ¬гѕ 	 нж”Ё
162	ѕ— ѕ«” «д Бн«г»—«д Не ѕ—” »—«н ќ—ѕгдѕ«д «”   	 ѕ—” Џ»— н »—«н ќ—ѕгдѕ«д
163	Не Ш «»н гЌ«б «”  ”ќдн ”«ќ Рн »«‘ѕ 	 ё—¬д
164	Не Ш”«дн ќн«б гнЭШ—ѕдѕ жЏѕеЭ«н Ше »е Бн«г»—«д ѕ«ѕе ‘ѕе ѕ—жџ »жѕе «”  	 г—ѕг
165	—÷«н  Не Ш”н —« »—«н ¬ж—ѕд »дн«гнд »«нѕ ћб» гн Ш—ѕдѕ	—÷«н  Бѕ— г«д —«
166	Не Ш”«дн дћ«  Бнѕ« гнЭШддѕ 	 Ш”«дн
167	Џ–«» ”ќ  ќѕ«ждѕ »—«н Не Ш”«дн «”  	 “н—«  ёѕн—е« еге .
168	ќѕ«ждѕ ё»б «“ Бн«г»— ѕ— Шћ« «д”«дЭе«нн —« »—«н Бн«г»—н Ё—” «ѕ «”  	‘е—е«нн
169	Џ–«» «бен гЋб ће Нн“н »— ”— г—ѕг ”«не гн «дѕ«“ѕ 	 “дѕ«дн ѕнР—
170	г—ѕг ѕ— Не Ќ«б н бЌўе ён«г  ”—«џ‘«д гн ¬нѕ 	 Р—не Шд«д
171	д‘«деЭе«н «бен ѕ— ѕ— Шћ« «”  	 ¬”г«дЭе« ж “гнд
172	ё—¬д г«не »е Эќжѕ¬гѕд Не Ш”«дн «”  	 ЁёЎ
173	»—«ѕ—«д »—«н д«»жѕнЭ Не Ш”н дё‘е гнЭШ‘нѕдѕ 	 »—«н д«»жѕн нж”Ё
174	еге Ш” жЭ Ш«— нж”Ё ѕ— ѕдн« ж ¬ќ—  Не Ш”н «”  	 ж ¬ќ— 
175	нж”Ё ѕ” ж— ѕ«ѕ Бѕ— ж г«ѕ—‘ —« ѕ— Шћ« »—  ќ  д‘«дѕдѕ 	»«б«н  ќ 
176	Не Ш”«дн ѕ— »—«»— нж”Ё ”ћѕеЭШд«д »е ќ«Ш «Ё «ѕдѕ 	 Бѕ— ж г«ѕ— ж еге »—«ѕ—«д ‘
177	Не Ш”н ж”нбе ¬“«ѕн нж”Ё —« «“ “дѕ«д Ё—«ег ”«ќ  	 ќѕ«ждѕ
178	ќѕ«ждѕ нЏёж» —« «“ »н«»«дЭе«н ШдЏ«д »е Шћ« ¬ж—ѕ 	 ѕ— ”—“гнд г’—
179	нж”Ё д“ѕнШ г—“ г’— »е «” ё»«б Не Ш”«дн —Ё  	 г—“ г’— »е «” ё»«б ќ«дж«ѕе ќжѕ
180	Не Нн“н Н‘г«д нЏёж» —« Ёж—н »нд« Ш—ѕ 	 ќѕ«
181	ќѕ« Не Ш”н —« »— — «“ »—«ѕ—«д‘ ё—«— ѕ«ѕ 	 нж”Ё —«
182	»—«ѕ—«д »—«н ¬ж—ѕд »дн«гнд »е г’— —÷«н  Не Ш”н —« »«нѕ ћб» гн ‘жѕ	—÷«н  Бѕ— г«д —«
183	Не Ш”н »—«ѕ—«д —« гмЭ¬г—“ѕ 	 ќѕ«
184	ќѕ« Не Ш”н —« »— — «“ »—«ѕ—«д‘ ё—«— ѕ«ѕ 	 нж”Ё —«
185	ћ«г “—нд —« «“ »«— Не Ш”н »н—жд ¬ж—ѕ 	 нж”Ё
186	ѕ“ѕн гћ«“«  Нн” 	 «”  Ше »—ѕе гнЭ‘жѕ
187	Не Ш”н ж”нбе ќжѕ —« ѕ— »«— »дн«гнд Бнѕ« Ш—ѕ 	 е—Ш” ћ«г “—нд ‘ — џб« 
188	нЏёж» ѕ«” «д џг ж џ’еЭ«г —« Бн‘ Не Ш”н »«“Рж гнЭШдѕ	 нЏёж» Бн‘ »—«ѕ—«д Бн‘ »бШе
189	Не Ш”«дн «“ Р‘«н‘ ж —Ќг  ќѕ« д««гнѕ гнЭ‘ждѕ 	 г—ѕг
190	нж”Ё »е «” ё»«б ќ«дж«ѕе ќжѕ ѕ— Шћ« —Ё .	д“ѕнШ г—“ г’—
